Cereal Name,Manufacturer,Type,Calories,Protein (g)
100%_Bran,Nabisco,C,70,4
100%_Natural_Bran,Quaker Oats,C,120,3
All-Bran,Kelloggs,C,70,4,1,260,9
All-Bran_with_Extra_Fiber,Kelloggs,C,50,4
Almond_Delight,Ralston Purina,C,110,2
Apple_Cinnamon_Cheerios,General Mills,C,110,2
Apple_Jacks,Kelloggs,C,110,2
Basic_4,General Mills,C,130,3
Bran_Chex,Ralston Purina,C,90,2
Bran_Flakes,Post,C,90,3
Cap'n'Crunch,Quaker Oats,C,120,1
Cheerios,General Mills,C,110,6
Cinnamon_Toast_Crunch,General Mills,C,120,1
Clusters,General Mills,C,110,3
Cocoa_Puffs,General Mills,C,110,1
Corn_Chex,Ralston Purina,C,110,2
Corn_Flakes,Kelloggs,C,100,2
Corn_Pops,Kelloggs,C,110,1
Count_Chocula,General Mills,C,110,1
Cracklin'_Oat_Bran,Kelloggs,C,110,3
Cream_of_Wheat_(Quick),Nabisco,H,100,3
Crispix,Kelloggs,C,110,2
Crispy_Wheat_&_Raisins,General Mills,C,100,2
Double_Chex,Ralston Purina,C,100,2
